t,value
1611788469,1855
t,value
1611847794,115
t,value
1611850388,57
t,value
1611854799,116
1611855699,27
1611856599,28
1611859849,29
1611860750,59
1611870341,54
1611871241,30
t,value
1611874749,124
1611875769,42
1611876669,33
1611878320,44
1611880750,41
1611881650,31
t,value
1611935439,125
t,value
1612055530,185
1612056430,38
1612057410,39
1612058310,30
1612059211,48
1612060111,30
1612061011,45
1612062091,52
1612062991,54
t,value
1616419896,119
1616424246,41
1616425707,26
1616426607,26
1616427507,41
1616431433,26
1616432333,32
1616434813,30
1616435713,28
1616437954,27
1616438854,33
1616439754,34
t,value
1622222372,1834
1622223273,32
1622224174,33
t,value
1622504033,1885
